X,Y,objectid,ncessch,leaid,name,opstfips,street,city,state,zip,stfip,cnty,nmcnty,locale,lat,lon,cbsa,nmcbsa,cbsatype,csa,nmcsa,necta,nmnecta,cd,sldl,sldu,schoolyear
-85.6779050229999,40.249307668,81,180012000010,1800120,Alexandria Monroe Elementary School,18,308 W 11th St,Alexandria,IN,46001,18,18095,Madison County,23,40.2493,-85.6779,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18035,18026,2021-2022
-85.678405023,40.2521076690001,82,180012000011,1800120,Alexandria-Monroe High School,18,1 Burden Ct,Alexandria,IN,46001,18,18095,Madison County,23,40.2521,-85.6784,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18035,18026,2021-2022
-86.148334118,39.7279485490001,83,180012202538,1800122,Christel House DORS,18,2717 S East St,Indianapolis,IN,46225,18,18097,Marion County,11,39.727941,-86.148329,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18097,18036,2021-2022
-85.354494921,40.174224671,84,180012302560,1800123,Inspire Academy - A Sch of Inquiry,18,2801 E 16th St,Muncie,IN,47302,18,18035,Delaware County,13,40.174217,-85.35449,34620,"Muncie, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1806,18033,18025,2021-2022
-86.001709083,39.8285055750001,85,180012402550,1800124,Phalen Leadership Academy - IN Inc,18,3920 Baker Drive,Indianapolis,IN,46235,18,18097,Marion County,11,39.828498,-86.001704,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18095,18034,2021-2022
-85.298222799,38.86593343,86,180012902534,1800129,Canaan Community Academy,18,8775 N Canaan Main St,Canaan,IN,47224,18,18077,Jefferson County,42,38.865926,-85.298218,31500,"Madison, IN",2,N,N,N,N,1806,18067,18045,2021-2022
-85.148704937,41.0755078450001,87,180013102539,1800131,Smith Academy for Excellence,18,725 W Washington Blvd,Fort Wayne,IN,46802,18,18003,Allen County,11,41.0755,-85.1487,23060,"Fort Wayne, IN",1,258,"Fort Wayne-Huntington-Auburn, IN",N,N,1803,18080,18016,2021-2022
-86.304844319,41.4775638560001,88,180013301804,1800133,Union-North United School Corp,18,22601 Tyler Rd,Lakeville,IN,46536,18,18141,St. Joseph County,42,41.477556,-86.304839,43780,"South Bend-Mishawaka, IN-MI",1,515,"South Bend-Elkhart-Mishawaka, IN-MI",N,N,1802,18007,18009,2021-2022
-84.885726752,39.8152506280001,89,180013402549,1800134,Excel Center - Richmond,18,1215 S 'J' St,Richmond,IN,47374,18,18177,Wayne County,32,39.815243,-84.885722,39980,"Richmond, IN",2,458,"Richmond-Connersville, IN",N,N,1806,18056,18027,2021-2022
-86.131605178,40.4853076890001,90,180013502553,1800135,Excel Center - Kokomo,18,101 W Superior St,Kokomo,IN,46901,18,18067,Howard County,13,40.4853,-86.1316,29020,"Kokomo, IN",1,316,"Kokomo-Peru, IN",N,N,1804,18030,18021,2021-2022
-86.262219159,39.8227575610001,91,180013702551,1800137,Enlace Academy,18,3725 Kiel Avenue,Indianapolis,IN,46224,18,18097,Marion County,11,39.82275,-86.262214,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18099,18029,2021-2022
-86.2640141589999,39.8175765600001,92,180013802554,1800138,Excel Center - Lafayette Square,18,6000 W 34th St,Indianapolis,IN,46224,18,18097,Marion County,11,39.817569,-86.264009,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18099,18029,2021-2022
-86.8766053909999,40.4232076390001,93,180014202548,1800142,Excel Center - Lafayette,18,615 N 18th St 2nd Floor,Lafayette,IN,47904,18,18157,Tippecanoe County,13,40.4232,-86.8766,29200,"Lafayette-West Lafayette, IN",1,320,"Lafayette-West Lafayette-Frankfort, IN",N,N,1804,18027,18007,2021-2022
-86.115983117,39.83067157,94,180014502595,1800145,Tindley Genesis Academy,18,4020 Meadows Pkwy,Indianapolis,IN,46205,18,18097,Marion County,11,39.830664,-86.115978,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18096,18034,2021-2022
-86.190554135,39.790738559,95,180014602566,1800146,Vision Academy,18,1751 E Riverside Dr,Indianapolis,IN,46202,18,18097,Marion County,11,39.790731,-86.190549,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18099,18033,2021-2022
-86.129146119,39.811487566,96,180014702571,1800147,KIPP Indy Unite Elementary,18,1740 E 30th St,Indianapolis,IN,46218,18,18097,Marion County,11,39.81148,-86.129141,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18096,18034,2021-2022
-86.0160240869999,39.823686573,97,180014802563,1800148,Tindley Summit Academy,18,3698 Dubarry Rd,Indianapolis,IN,46226,18,18097,Marion County,11,39.823679,-86.016019,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18098,18034,2021-2022
-86.212101139,39.766460554,98,180014902568,1800149,Christel House Academy West,18,55 N Tibbs Ave,Indianapolis,IN,46222,18,18097,Marion County,11,39.766453,-86.212096,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18097,18033,2021-2022
-85.733407028,40.10744464,99,180015000020,1800150,Edgewood Elementary School,18,3525 Winding Way,Anderson,IN,46011,18,18095,Madison County,13,40.107437,-85.733402,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18036,18026,2021-2022
-85.691205012,40.066107634,100,180015000029,1800150,Anderson High School,18,4610 Madison Ave,Anderson,IN,46013,18,18095,Madison County,13,40.0661,-85.6912,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18036,18025,2021-2022
-85.636604999,40.107107645,101,180015000041,1800150,Tenth Street Elementary School,18,3124 E 10th St,Anderson,IN,46012,18,18095,Madison County,13,40.1071,-85.6366,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18036,18025,2021-2022
-85.61390499,40.0746076390001,102,180015000044,1800150,Valley Grove Elementary School,18,2160 S 300 E,Anderson,IN,46017,18,18095,Madison County,41,40.0746,-85.6139,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18036,18025,2021-2022
-85.713705021,40.0958076380001,103,180015001847,1800150,Anderson Elementary School,18,2035 S Raible Ave,Anderson,IN,46011,18,18095,Madison County,13,40.0958,-85.7137,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18036,18025,2021-2022
-85.652105005,40.1241076470001,104,180015002109,1800150,Eastside Elementary School,18,844 N Scatterfield Rd,Anderson,IN,46012,18,18095,Madison County,13,40.1241,-85.6521,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18036,18026,2021-2022
-85.6902050099999,40.052907632,105,180015002110,1800150,Erskine Elementary School,18,811 W 60th St,Anderson,IN,46013,18,18095,Madison County,13,40.0529,-85.6902,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18036,18025,2021-2022
-85.6303789999999,40.1367236500001,106,180015002483,1800150,Highland Middle School,18,2108 E 200 N,Anderson,IN,46012,18,18095,Madison County,13,40.136716,-85.630374,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18036,18025,2021-2022
-85.674502006,40.069414636,107,180015002557,1800150,Southview Preschool Center,18,4500 Main St,Anderson,IN,46013,18,18095,Madison County,13,40.069407,-85.674497,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18036,18025,2021-2022
-85.715682021,40.0960686390001,108,180015002623,1800150,COMPASS Alternative School,18,2010 Brentwood Drive,Anderson,IN,46011,18,18095,Madison County,13,40.096061,-85.715677,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18036,18025,2021-2022
-85.650902004,40.1222616470001,109,180015002682,1800150,Anderson Intermediate School,18,2300 Lindberg Rd,Anderson,IN,46012,18,18095,Madison County,13,40.122254,-85.650897,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18036,18026,2021-2022
-86.1526091169999,39.703868545,110,180015902592,1800159,Excel Center - University Heights,18,3919 Madison Ave,Indianapolis,IN,46227,18,18097,Marion County,11,39.703861,-86.152604,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18097,18036,2021-2022
-86.296966337,41.6869978940001,111,180016102583,1800161,Success Academy Primary School,18,3408 Ardmore Trail,South Bend,IN,46628,18,18141,St. Joseph County,12,41.68699,-86.296961,43780,"South Bend-Mishawaka, IN-MI",1,515,"South Bend-Elkhart-Mishawaka, IN-MI",N,N,1802,18007,18010,2021-2022
-86.0029961019999,40.0483976150001,112,180016302576,1800163,Excel Center - Noblesville,18,300 N 17 St,Noblesville,IN,46060,18,18057,Hamilton County,21,40.04839,-86.002991,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18029,18020,2021-2022
-86.331756351,41.7277478980001,113,180016402593,1800164,Career Academy Middle School,18,3801 Cresent Circle - Suite B,South Bend,IN,46628,18,18141,St. Joseph County,12,41.72774,-86.331751,43780,"South Bend-Mishawaka, IN-MI",1,515,"South Bend-Elkhart-Mishawaka, IN-MI",N,N,1802,18008,18008,2021-2022
-87.270520391,39.0743783730001,114,180016502590,1800165,Dugger Union Community School Corp,18,7356 East County Road 50 South,Dugger,IN,47848,18,18153,Sullivan County,42,39.074371,-87.270515,45460,"Terre Haute, IN",1,N,N,N,N,1808,18045,18039,2021-2022
-85.429298907,39.7420225880001,115,180016802582,1800168,Mays Community Academy,18,929 E South Street,Mays,IN,46155,18,18139,Rush County,42,39.742015,-85.429294,N,N,0,N,N,N,N,1806,18054,18042,2021-2022
-86.288074334,41.681047893,116,180016902596,1800169,Excel Center - South Bend,18,2721 Kenwood Avenue,South Bend,IN,46628,18,18141,St. Joseph County,12,41.68104,-86.288069,43780,"South Bend-Mishawaka, IN-MI",1,515,"South Bend-Elkhart-Mishawaka, IN-MI",N,N,1802,18006,18010,2021-2022
-86.1843061339999,39.7945075590001,117,180017002610,1800170,Global Preparatory Academy,18,2033 Sugar Grove Ave,Indianapolis,IN,46202,18,18097,Marion County,11,39.7945,-86.184301,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18099,18033,2021-2022
-87.369456642,41.556987812,118,180017102614,1800171,Steel City Academy,18,2650 W 35th Avenue,Gary,IN,46408,18,18089,Lake County,13,41.55698,-87.369451,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1,176,"Chicago-Naperville, IL-IN-WI",N,N,1801,18014,18002,2021-2022
-86.126066121,39.8500575730001,119,180017202604,1800172,ACE Preparatory Academy,18,5326 Hillside Avenue,Indianapolis,IN,46220,18,18097,Marion County,11,39.85005,-86.126061,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18096,18033,2021-2022
-85.7773869919999,39.52566053,120,180017502606,1800175,Excel Center - Shelbyville,18,111 North Harrison Street,Shelbyville,IN,46176,18,18145,Shelby County,32,39.525653,-85.777382,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1806,18057,18042,2021-2022
-86.6213052149999,39.2298124340001,121,180017602603,1800176,Seven Oaks Classical School,18,200 East Association Street,Ellettsville,IN,47429,18,18105,Monroe County,22,39.229805,-86.6213,14020,"Bloomington, IN",1,144,"Bloomington-Bedford, IN",N,N,1809,18046,18040,2021-2022
-86.121152117,39.819130568,122,180017702608,1800177,Kindezi Academy,18,3421 North Keystone Avenue,Indianapolis,IN,46218,18,18097,Marion County,11,39.819123,-86.121147,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18096,18034,2021-2022
-87.34511563,41.5119058060001,123,180017802602,1800178,Higher Institute of Arts & Tech,18,5861 Harrison Street,Merrillville,IN,46410,18,18089,Lake County,21,41.511898,-87.34511,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1,176,"Chicago-Naperville, IL-IN-WI",N,N,1801,18014,18002,2021-2022
-86.0431530979999,39.856962578,124,180017902601,1800179,Insight School of Indiana,18,5650 Caito Drive,Indianapolis,IN,46226,18,18097,Marion County,21,39.856955,-86.043148,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18095,18031,2021-2022
-86.2490052799999,41.2415078170001,125,180018000047,1800180,Argos Community Elementary,18,600 Yearick Ave,Argos,IN,46501,18,18099,Marshall County,42,41.2415,-86.249,38500,"Plymouth, IN",2,515,"South Bend-Elkhart-Mishawaka, IN-MI",N,N,1802,18017,18018,2021-2022
-86.250683281,41.241444818,126,180018000048,1800180,Argos Comm Jr-Sr High School,18,500 Yearick Ave,Argos,IN,46501,18,18099,Marshall County,42,41.241437,-86.250678,38500,"Plymouth, IN",2,515,"South Bend-Elkhart-Mishawaka, IN-MI",N,N,1802,18017,18018,2021-2022
-86.028557091,39.8304215740001,127,180018102617,1800181,Circle City Prep Charter School,18,4002 N Franklin Road,Indianapolis,IN,46226,18,18097,Marion County,11,39.830414,-86.028552,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18095,18034,2021-2022
-85.762215893,38.312997302,128,180018202619,1800182,Excel Center - Clarksville,18,1329 Applegate Lane,Clarksville,IN,47129,18,18019,Clark County,21,38.31299,-85.762211,31140,"Louisville/Jefferson County, KY-IN",1,350,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN",N,N,1809,18071,18046,2021-2022
-86.1119291099999,39.7680945590001,129,180018302632,1800183,Purdue Polytechnic High School Ind,18,3029 E Washington St,Indianapolis,IN,46201,18,18097,Marion County,11,39.768087,-86.111924,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18100,18032,2021-2022
-86.112436116,39.829784569,130,180018402620,1800184,Avondale Meadows Middle School,18,3980 Meadows Dr,Indianapolis,IN,46205,18,18097,Marion County,11,39.829777,-86.112431,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18096,18034,2021-2022
-87.445531667,41.5869148140001,131,180018502624,1800185,Excel Center - Hammond,18,3438 169th Street,Hammond,IN,46323,18,18089,Lake County,21,41.586907,-87.445526,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1,176,"Chicago-Naperville, IL-IN-WI",N,N,1801,18002,18001,2021-2022
-86.2093271429999,39.8102315610001,132,180018702633,1800187,Riverside High School,18,2916 W 30th St,Indianapolis,IN,46222,18,18097,Marion County,11,39.810224,-86.209322,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18099,18033,2021-2022
-85.992508081,39.836257577,133,180018802618,1800188,James & Rosemary Phalen Leadership Academy Middle School,18,4352 Mitthoeffer Road,Indianapolis,IN,46235,18,18097,Marion County,11,39.83625,-85.992503,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18095,18034,2021-2022
-87.092529289,38.444061264,134,180018902616,1800189,Otwell Miller Academy,18,9958 East County Road 150 N,Otwell,IN,47564,18,18125,Pike County,42,38.444054,-87.092524,27540,"Jasper, IN",2,N,N,N,N,1808,18063,18048,2021-2022
-86.1793121329999,39.803487562,135,180019002635,1800190,Ignite Achievement Academy,18,1002 W 25 Street,Indianapolis,IN,42608,18,18097,Marion County,11,39.80348,-86.179307,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18099,18033,2021-2022
-86.2752771679999,39.87588657,136,180019102631,1800191,Indiana Connections Career Academy,18,6640 Intech Boulevard - Ste 250,Indianapolis,IN,46278,18,18097,Marion County,11,39.875879,-86.275272,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18086,18029,2021-2022
-86.136939118,39.768772557,137,180019202640,1800192,Urban ACT Academy,18,1250 E Market Street,Indianapolis,IN,46202,18,18097,Marion County,11,39.768765,-86.136934,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18100,18034,2021-2022
-86.2021691369999,39.768804554,138,180019302639,1800193,Vanguard Collegiate of Indy,18,2447 West 14th Street,Indianapolis,IN,46222,18,18097,Marion County,11,39.768797,-86.202164,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18097,18033,2021-2022
-86.1958661359999,39.784084557,139,180019402642,1800194,Matchbook Learning,18,1163 Belmont Avenue,Indianapolis,IN,46222,18,18097,Marion County,11,39.784077,-86.195861,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18099,18033,2021-2022
-87.3869066509999,41.60220782,140,180019502641,1800195,Gary Middle College West,18,4030 W 5th Ave,Gary,IN,46406,18,18089,Lake County,13,41.6022,-87.386901,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1,176,"Chicago-Naperville, IL-IN-WI",N,N,1801,18003,18003,2021-2022
-86.136756119,39.777407559,141,180019602643,1800196,Paramount Cottage Home,18,1203 E St. Clair Street,Indianapolis,IN,46202,18,18097,Marion County,11,39.7774,-86.136751,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18096,18034,2021-2022
-85.397880935,40.1917786720001,142,180019702662,1800197,Excel Center - Muncie,18,1023 W Jackson St,Muncie,IN,47305,18,18035,Delaware County,13,40.191771,-85.397876,34620,"Muncie, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1806,18034,18025,2021-2022
-86.268759126,39.401583483,143,180019802665,1800198,Indiana Agriculture and Technology,18,1982 S Morgantown Road,Morgantown,IN,46160,18,18109,Morgan County,42,39.401576,-86.268754,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1809,18060,18037,2021-2022
-86.2111161399999,39.777177555,144,180019902648,1800199,Allegiant Preparatory Academy,18,3125 Concord Ct Suite B,Indianapolis,IN,46222,18,18097,Marion County,11,39.77717,-86.211111,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18099,18033,2021-2022
-87.395237649,41.5497788100001,145,180020002652,1800200,Excel Center - Gary,18,4610 W Ridge Road,Gary,IN,46408,18,18089,Lake County,13,41.549771,-87.395232,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1,176,"Chicago-Naperville, IL-IN-WI",N,N,1801,18014,18002,2021-2022
-86.11711511,39.7442555540001,146,180020202661,1800202,Bethel Park Elementary | pilotED Schools,18,2710 Bethel Ave,Indianapolis,IN,46203,18,18097,Marion County,11,39.744248,-86.11711,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18100,18032,2021-2022
-85.105117921,41.0393028400001,147,180020302668,1800203,Timothy L. Johnson Academy Middle,18,4625 Werling Drive,Fort Wayne,IN,46806,18,18003,Allen County,11,41.039295,-85.105113,23060,"Fort Wayne, IN",1,258,"Fort Wayne-Huntington-Auburn, IN",N,N,1803,18080,18014,2021-2022
-86.042176094,39.819640572,148,180020400838,1800204,PLA at George H Fisher School 93,18,7151 E 35th St,Indianapolis,IN,46226,18,18097,Marion County,11,39.819633,-86.042171,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18098,18034,2021-2022
-86.054056105,39.9083985870001,149,180020502673,1800205,Dynamic Minds Academy,18,8350 Craig St,Indianapolis,IN,46250,18,18097,Marion County,11,39.908391,-86.054051,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18087,18031,2021-2022
-86.130265118,39.7982065630001,150,180020602669,1800206,KIPP Indy Legacy High,18,2255 N Ralston Ave,Indianapolis,IN,46218,18,18097,Marion County,11,39.798199,-86.13026,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18098,18034,2021-2022
